Date/Time,SOUTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WINDOW LEFT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUWTH WINDOW RIGHT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly) 
 09/23  18:00:00,30.963681178009897,30.963681178009897,30.963681178009897,15.665027646263477,15.665027646263477,199.73968517433273,34.142095849248537,51.42405883243809 
 09/23  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.76960986623126 
 09/23  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.167756857255358 
 09/23  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.842529189658907 
 09/23  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.98266891711688 
 09/23  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.685974888530994 
 09/23  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.758098862577655 
 09/24  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.025529810054324 
 09/24  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.573902120445739 
 09/24  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48146755782524 
 09/24  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.44972913571332 
 09/24  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.69206388857692 
 09/24  06:00:00,5.1888259612288689,5.1888259612288689,5.1888259612288689,39.522500292049148,3.84533209338676,3.84533209338676,7.417039360707044,15.132209463004476 
 09/24  07:00:00,95.87523254255396,95.87523254255396,95.87523254255396,374.36542575783326,41.14058406194141,41.14058406194141,104.73463468089085,14.146855162083263 
 09/24  08:00:00,327.297690040087,327.297690040087,327.297690040087,772.8963935134967,89.98057953986631,89.98057953986631,332.8954743826184,15.346978627168277 
 09/24  09:00:00,541.3642731434304,541.3642731434304,541.3642731434304,830.3061434238485,114.12908483126546,114.12908483126546,540.6345293562865,19.722237794495798 
 09/24  10:00:00,691.6154239137596,691.6154239137596,691.6154239137596,686.6638041705838,132.70465419503558,132.70465419503558,695.3052020319035,27.106400760431997 
 09/24  11:00:00,783.3211290958526,783.3211290958526,783.3211290958526,461.14398587735948,137.0603092993584,137.0603092993584,788.903817409469,35.31686845445557 
 09/24  12:00:00,801.4902490732393,801.4902490732393,801.4902490732393,207.4547923843258,139.22915587118767,149.45823840316965,820.3708338156237,43.449337454168148 
 09/24  13:00:00,774.3168550672839,774.3168550672839,774.3168550672839,130.59899942648088,130.59899942648088,332.4473133497202,789.1580722400498,50.42188535917141 
 09/24  14:00:00,688.1419993226266,688.1419993226266,688.1419993226266,113.53987522506464,113.53987522506464,549.6913224707179,695.2229044796869,55.525364454308888 
 09/24  15:00:00,548.8209179353324,548.8209179353324,548.8209179353324,87.86765798178785,87.86765798178785,702.7326229343184,546.6835084308386,58.160051537756157 
 09/24  16:00:00,368.4923014593866,368.4923014593866,368.4923014593866,59.63089351742135,59.63089351742135,749.6868168745264,357.83472944549376,58.00908525770549 
